"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"	"expression_1.x"	"expression_2.x"	"expression_3.x"	"expression_1.y"	"expression_2.y"	"expression_3.y"
"98"	"ENSMUSG00000000811"	2.786015	1.252525	2.573565	1.362685	1.39316	0.18564087	0.98814	0.417583	5.94189666666667	5.90715	5.63672666666667	5.94189666666667	5.90715	5.63672666666667
"99"	"ENSMUSG00000000823"	1.9663961	1.0421165	1.1144273	2.0910935	2.0947592	0.39984564	0.9588604	0.658196852	5.738995	5.97875	5.99118	5.738995	5.97875	5.99118
"100"	"ENSMUSG00000000826"	6.37026933333333	2.58640883333333	3.21499733333333	1.84230883333333	2.592837	0.519548016666667	1.38459033333333	0.999731666666667	7.446776	7.335648	7.377804	7.446776	7.335648	7.377804
"101"	"ENSMUSG00000000827"	7.90557216666667	4.9412535	7.68371165	5.637175	6.51876741666667	1.48002273333333	3.7747085	2.83304141666667	7.11968	7.1946825	7.0526575	7.11968	7.1946825	7.0526575
"102"	"ENSMUSG00000000838"	3.23309438461538	0.446679523076923	0.993522069230769	0.509038246923077	0.651491908461538	0.0661016923076923	0.447796	0.197814384615385	6.48903	6.48172333333333	6.31230666666667	6.48903	6.48172333333333	6.31230666666667
"103"	"ENSMUSG00000000869"	2.4117025	0.49121	0.8929985	2.010235	2.176054	0.342145	0.39281	0.827408	4.03733	3.70499	3.77868	4.03733	3.70499	3.77868
"104"	"ENSMUSG00000000876"	9.845985	11.09344	9.791675	14.79253	15.66759	2.5249	9.061545	5.548605	7.25662	7.29191	7.39099	7.25662	7.29191	7.39099
"105"	"ENSMUSG00000000881"	3.550088556625	0.173879525	1.361817625	2.18158075	2.3587500194625	0.241169375	0.142802987225	0.797573125	7.60965	7.54717	7.65068	7.60965	7.54717	7.65068
"106"	"ENSMUSG00000000884"	0.574852727272727	0.312552363636364	0.540614909090909	0.225328254545455	0.332803218181818	0.0940425927272727	0.314147618181818	0.613325181818182	5.43396	5.22167	5.20718	5.43396	5.22167	5.20718
"107"	"ENSMUSG00000000901"	4.74733016666667	0.321416666666667	1.38796383333333	4.34053783333333	3.3944295	1.80311183333333	0.3649235	6.52396033333333	6.98878	7.00951	6.81156	6.98878	7.00951	6.81156
"108"	"ENSMUSG00000000902"	6.73173016666667	1.82073283333333	6.60272266666667	9.963202	8.67333866666667	0.932936666666667	1.83836933333333	2.13156833333333	6.16082	6.11067	6.05429	6.16082	6.11067	6.05429
"109"	"ENSMUSG00000000915"	0.960093	1.14956185714286	0.573146014285714	0.323336	0.430339714285714	0.107398857142857	0.652763	0.0900905714285714	7.19631666666667	7.14420333333333	7.22952333333333	7.19631666666667	7.14420333333333	7.22952333333333
"110"	"ENSMUSG00000000916"	2.79023355555556	1.16527177777778	1.70107777777778	3.01478633333333	2.49157255555556	1.00359311111111	0.797238666666667	1.89069588888889	6.240675	6.16923	6.198475	6.240675	6.16923	6.198475
"111"	"ENSMUSG00000000934"	5.342587	2.601002	4.53819	9.67476333333333	12.4425123333333	2.82601	1.905264	3.83099333333333	5.15289	5.30241	5.24939	5.15289	5.30241	5.24939
"112"	"ENSMUSG00000000938"	7.441196	2.939915	7.23553	5.449437725	6.480654525	1.192705	3.188295	3.175755	3.202905	2.849095	2.8964	3.202905	2.849095	2.8964
"113"	"ENSMUSG00000000942"	0.948536	2.72665	1.24379	1.81723	2.31842	0.0263249	1.16968	0.43207	4.39432	4.051645	4.052625	4.39432	4.051645	4.052625
"114"	"ENSMUSG00000000957"	67.5225452857143	0.997121457142857	32.8025122857143	27.8699155714286	37.9161694285714	3.3872621	1.16978271428571	9.39082571428571	7.95344	8.28152666666667	8.01876333333333	7.95344	8.28152666666667	8.01876333333333
"115"	"ENSMUSG00000000958"	1.84649483333333	0.089719215	1.39487141666667	0.127102916666667	0.105460166666667	0.011762	0.0865778333333333	0.263505833333333	4.86283	4.940045	5.036695	4.86283	4.940045	5.036695
"116"	"ENSMUSG00000000959"	4.399644	5.3393994	4.4726212	5.1402254	4.22553018	1.41604474	3.992087	5.6494262	5.42032666666667	5.39347666666667	5.5235	5.42032666666667	5.39347666666667	5.5235
"117"	"ENSMUSG00000000976"	1.9322284	0.5500904	0.9116024	1.0419052	1.2217792	0.1912268	0.5019324	0.303912	5.2838	5.402835	5.509165	5.2838	5.402835	5.509165
"118"	"ENSMUSG00000001016"	13.112565	3.11092366666667	8.167246	10.9190357166667	12.5538430833333	1.590742	2.9889875	3.2450605	7.51726	7.40005	7.492465	7.51726	7.40005	7.492465
"119"	"ENSMUSG00000001017"	13.1562313333333	7.78842977777778	7.654785	9.9077919	12.0003250888889	2.23677411111111	6.34521033342122	6.23255211111111	8.24541	8.543335	8.16972	8.24541	8.543335	8.16972
"120"	"ENSMUSG00000001018"	14.391796	11.426114	9.227128	15.52218	17.030436	0.687923001504	10.3023	1.6188432	8.043235	7.77315	7.67495	8.043235	7.77315	7.67495
"121"	"ENSMUSG00000001020"	480.1397	13.81625	880.3373	2654.6395	4753.2925	166.22976	13.239185	136.78805	13.0548	12.8498	12.9806	13.0548	12.8498	12.9806
"122"	"ENSMUSG00000001025"	1141.766725	24.8139375	931.2122	3368.917425	3098.468625	2872.7697125	33.39728	551.609525	12.1419	12.0659	11.9286	12.1419	12.0659	11.9286
"123"	"ENSMUSG00000001027"	0.0322952	35.80485	0.240204	0.04555765	0.01255765	0.0722985	23.39755	0.2860715	4.46631	4.00942	4.2712	4.46631	4.00942	4.2712
"124"	"ENSMUSG00000001029"	3.302314	2.702346	2.1539858	0.18380392	0.05133862	0.04828418	2.1613068	0.278016	6.83469	6.87814	6.24736	6.83469	6.87814	6.24736
"125"	"ENSMUSG00000001034"	1.9694935	0.427371385714286	1.96857407142857	1.91540564285714	1.82172664285714	0.294002942857143	0.263336521428571	0.4007496	5.69791	5.56844	5.65844	5.69791	5.56844	5.65844
"126"	"ENSMUSG00000001036"	3.49765531838462	0.947432846153846	1.61262185186923	1.058316	1.25182292307692	0.193955153846154	0.888760538461538	0.558006923076923	5.67185666666667	5.65907333333333	5.51394166666667	5.67185666666667	5.65907333333333	5.51394166666667
